yes_no_binary__has_document,yes_no_binary__avtodayanacaq,yes_no_binary__balkon,yes_no_binary__duzelme,yes_no_binary__esyali,yes_no_binary__hovuz,yes_no_binary__internet,yes_no_binary__isiq,yes_no_binary__kabel_tv,yes_no_binary__kombi,yes_no_binary__kondisioner,yes_no_binary__lift,yes_no_binary__merkezi_qizdirici_sistem,yes_no_binary__metbex_mebeli,yes_no_binary__pvc_pencere,yes_no_binary__qaz,yes_no_binary__su,yes_no_binary__telefon,yes_no_binary__temirsiz,cat_ohe__cities_Bakı,cat_ohe__cities_Lənkəran,cat_ohe__cities_Qəbələ,cat_ohe__cities_Siyazən,cat_ohe__cities_Sumqayıt,cat_ohe__cities_Xırdalan,cat_freq__raion_freq,num__price,num__rooms,num__area_m2,num__land_area_sot,num__floor,num__log_area_m2_v3,cat_bin__area_q5_v3,num__log_land_area_sot_v3,num__log_floor_v3,cat_bin__rooms_q4_v3,num__area_per_room_v3,num__rooms_per_area_v3,num__area_x_rooms_v3,num__area_x_floor_v3,num__floor_over_log_area_v3,num__land_to_area_ratio_v3,num__land_x_area_v3,num__area_bin_x_rooms_bin_v3,num__amenity_count_v3,num__comfort_score_v3,num__utility_score_v3,num__comfort_x_rooms_v3,num__utility_per_area_v3,num__log_raion_freq_v3,num__raionfreq_x_logarea_v3
1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05253623188405797,212000.0,2.0,67.0,0.0,14.0,4.219507705176107,2.0,0.0,2.70805020110221,0.0,33.49998325000837,0.0298507458231232,134.0,938.0,3.317921819387665,0.0,0.0,20.0,12.0,5.0,6.0,10.0,0.08955223746936959,0.051202710574815916,0.22167703523570126
1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.14402173913043478,164000.0,3.0,75.0,0.0,4.0,4.330733340286331,2.0,0.0,1.6094379124341003,2.0,24.999991666669445,0.03999999946666667,225.0,300.0,0.9236308869815218,0.0,0.0,22.0,14.0,6.0,5.0,18.0,0.06666666577777779,0.13454989551345048,0.6237197473781945
1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.13722826086956522,85000.0,2.0,40.0,0.0,10.0,3.713572066704308,0.0,0.0,2.3978952727983707,0.0,19.999990000005,0.04999999875000003,80.0,400.0,2.6928243555134137,0.0,0.0,0.0,13.0,6.0,5.0,12.0,0.12499999687500009,0.1285939517605991,0.5096070363276292
1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.058197463768115944,129000.0,2.0,60.0,0.0,1.0,4.110873864173311,1.0,0.0,0.6931471805599453,0.0,29.9999850000075,0.03333333277777779,120.0,60.0,0.24325722213417408,0.0,0.0,10.0,14.0,6.0,6.0,12.0,0.09999999833333337,0.056566954743494935,0.23924243276552107
1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.16893115942028986,320000.0,3.0,113.0,0.0,18.0,4.736198448394496,4.0,0.0,2.9444389791664403,2.0,37.66665411111529,0.02654867233142768,339.0,2034.0,3.8005156235769895,0.0,0.0,42.0,13.0,6.0,5.0,18.0,0.04424778721904613,0.15608979232162795,0.80009149513186
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1671195652173913,73500.0,2.0,41.0,0.0,2.0,3.7376696182833684,0.0,0.0,1.0986122886681098,0.0,20.499989750005124,0.048780486615110086,82.0,82.0,0.5350926296760085,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.1545388032553791,0.6246377215337694
1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.06634963768115942,104000.0,3.0,55.0,0.0,2.0,4.02535169073515,1.0,0.0,1.0986122886681098,2.0,18.33332722222426,0.05454545355371903,165.0,110.0,0.49685087336651246,0.0,0.0,12.0,15.0,6.0,6.0,18.0,0.10909090710743806,0.06424126228662334,0.26708062621951967
1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.06634963768115942,150000.0,3.0,65.0,0.0,2.0,4.189654742026425,1.0,0.0,1.0986122886681098,2.0,21.66665944444685,0.04615384544378699,195.0,130.0,0.4773661902427938,0.0,0.0,12.0,10.0,3.0,4.0,9.0,0.06153846059171599,0.06424126228662334,0.2779820741426048
1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.001585144927536232,140000.0,2.0,58.0,0.0,6.0,4.07753744390572,1.0,0.0,1.9459101490553132,0.0,28.99998550000725,0.03448275802615935,116.0,348.0,1.471476009985286,0.0,0.0,10.0,12.0,6.0,4.0,12.0,0.0689655160523187,0.0015838899113955205,0.006463487796046205
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05253623188405797,68000.0,2.0,45.0,0.0,2.0,3.828641396489095,0.0,0.0,1.0986122886681098,0.0,22.499988750005624,0.04444444345679015,90.0,90.0,0.5223783766888286,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.051202710574815916,0.20114239220685462
