house_id,num__city_te_v6,num__district_te_v6,num__neighborhood_te_v6,num__metro_te_v6,num__metro_present_v6,num__location_te_mean_v6,num__district_to_city_ratio_v6,num__metro_to_district_ratio_v6,num__locmean_x_logarea_v6,num__locmean_x_rooms_v6
1001,171730.5503435057,238952.0165613719,179330.22074184896,258853.2305432541,1.0,212216.50454749516,1.3914356885365728,1.083285398747357,889113.8846136854,636649.5136424854
1003,172053.2543386296,245507.26476987623,179896.7978490805,235281.6284843742,1.0,208184.73636049012,1.426926016088309,0.9583489462275372,834265.6026762653,416369.4727209803
1005,173673.43080244618,170711.2353721633,144781.72178770148,112477.50920402698,0.0,150410.97429158448,0.9829438768061458,0.6588758435152713,694164.7734111748,601643.8971663379
1006,107130.4701757773,105749.561377748,179545.8873685221,112477.50920402698,0.0,126225.8570315186,0.9871100276443232,1.0636215199151746,480499.23520099296,126225.8570315186
1007,108615.38678747624,106696.62341855456,179429.6290971171,112868.03773967306,0.0,126902.41926070524,0.982334331933482,1.0578407649870152,539144.3244336592,380707.2577821157
1008,107130.4701757773,105749.561377748,179545.8873685221,112477.50920402698,0.0,126225.8570315186,0.9871100276443232,1.0636215199151746,543284.3051091393,252451.7140630372
1009,171730.5503435057,248181.0688780509,179330.22074184896,111273.01289317563,0.0,177628.71321414527,1.4451771591029037,0.4483541528600784,757174.3414026799,355257.4264282905
1010,106792.7526246908,105326.10742599612,179330.22074184896,111273.01289317563,0.0,125680.52342142788,0.9862664350938188,1.0564618365897689,580030.7622095803,377041.5702642837
1011,107436.10842519069,105578.46328353092,179858.45591844554,112788.20739951244,0.0,126415.30875666993,0.982709303511901,1.0682880190778254,438122.0742215036,126415.30875666993
1013,108615.38678747624,106696.62341855456,179429.6290971171,112868.03773967306,0.0,126902.41926070524,0.982334331933482,1.0578407649870152,471261.27936375374,253804.83852141048
1014,173673.43080244618,204235.418703388,179545.8873685221,201373.77292025837,1.0,189707.1274486537,1.17597388246755,0.9859884940512124,800470.6859964199,379414.2548973073
1016,172665.963977089,181744.4936659548,169890.90809563737,176474.26330839266,1.0,175193.90726176847,1.052578571240698,0.9710019805704828,758718.0951935723,525581.7217853054
1018,106792.7526246908,105326.10742599612,179330.22074184896,111273.01289317563,0.0,125680.52342142788,0.9862664350938188,1.0564618365897689,466723.68110659113,251361.04684285575
1019,172053.2543386296,140977.9276048254,145183.28562404646,112160.1528600354,0.0,142593.65510688422,0.8193854172995639,0.7955866195851269,586184.5299758336,285187.31021376845
1021,172093.94040834717,182729.63878761404,179858.45591844554,168812.49997015484,1.0,175873.63377114042,1.0618017017506165,0.9238375399266296,832972.431380377,527620.9013134213
1022,173673.43080244618,85549.24393695677,89864.82146847447,112477.50920402698,0.0,115391.2513529761,0.4925868254066829,1.314769178855625,431294.3743977184,230782.5027059522
1024,172665.963977089,166605.25376398195,145018.60363534623,147296.97329328087,1.0,157896.6986674245,0.9648992188473452,0.8841076134433438,635589.7429424156,473690.0960022735
1025,172093.94040834717,166907.0205600163,145243.0661388476,149252.39875870055,1.0,158374.1064664779,0.9698599506932484,0.8942248100590727,663532.8261714771,475122.3193994337
1026,172053.2543386296,152296.47105859042,153654.18006167412,112160.1528600354,0.0,147541.01457973238,0.8851705342228535,0.7364593025674867,601604.0114606984,295082.0291594648
1027,172093.94040834717,203742.40310596552,179196.62928852177,188332.8864665912,1.0,185841.4648173564,1.1839022490933642,0.9243676504969646,711520.3253839024,371682.9296347128
1030,172053.2543386296,185096.2595740925,168218.87545714664,164286.54613143305,1.0,172413.73387532547,1.0758079542553507,0.8875735604196957,694025.9151610015,517241.2016259764
1033,173673.43080244618,183006.9050261327,146866.91970466543,173641.53422741743,1.0,169297.19744016544,1.0537415203897804,0.9488250413375016,726362.759117121,338594.3948803309
1034,172053.2543386296,179430.7063759363,134718.7351053944,163498.4906022132,1.0,162425.29660554338,1.0428788869156973,0.9112068603171312,667709.9066963263,324850.5932110868
1035,172093.94040834717,182729.63878761404,139264.81708113124,168812.49997015484,1.0,165725.22406181184,1.0618017017506165,0.9238375399266296,747563.2024288588,497175.67218543554
1036,173673.43080244618,183006.9050261327,146866.91970466543,173641.53422741743,1.0,169297.19744016544,1.0537415203897804,0.9488250413375016,737578.5944213794,507891.59232049633
1038,106792.7526246908,105326.10742599612,179330.22074184896,111273.01289317563,0.0,125680.52342142788,0.9862664350938188,1.0564618365897689,510318.6028883524,251361.04684285575
1039,107436.10842519069,105578.46328353092,179858.45591844554,112788.20739951244,0.0,126415.30875666993,0.982709303511901,1.0682880190778254,429963.4171451987,252830.61751333985
1040,173673.43080244618,183006.9050261327,146866.91970466543,173641.53422741743,1.0,169297.19744016544,1.0537415203897804,0.9488250413375016,825098.5772763939,507891.59232049633
