num__city_te_v6,num__district_te_v6,num__neighborhood_te_v6,num__metro_te_v6,num__metro_present_v6,num__location_te_mean_v6,num__district_to_city_ratio_v6,num__metro_to_district_ratio_v6,num__locmean_x_logarea_v6,num__locmean_x_rooms_v6
172473.9076282108,242888.8225016114,179695.09240447727,263749.56435413164,1.0,214701.8467221078,1.4082641591433094,1.0858859688831335,899526.6102411096,644105.5401663233
172473.9076282108,242888.8225016114,179695.09240447727,234381.74457191047,1.0,207359.89177655248,1.4082641591433094,0.9649754243812126,830960.1756023925,414719.78355310496
172473.9076282108,168220.50045151776,144355.91905255488,112129.10257300708,0.0,149294.85742632265,0.975338836835325,0.6665602722104423,689013.7595671123,597179.4297052906
106785.45264913858,105097.3430360746,179695.09240447727,112129.10257300708,0.0,125926.7476656744,0.9841915769220483,1.0669071104247796,479360.6267976949,125926.7476656744
106785.45264913858,105097.3430360746,179695.09240447727,112129.10257300708,0.0,125926.7476656744,0.9841915769220483,1.0669071104247796,534999.1883043679,377780.24299702316
106785.45264913858,105097.3430360746,179695.09240447727,112129.10257300708,0.0,125926.7476656744,0.9841915769220483,1.0669071104247796,541996.9189285589,251853.4953313488
172473.9076282108,252036.0679010561,179695.09240447727,112129.10257300708,0.0,179083.54262668782,1.461299690866228,0.44489308021017704,763375.8134640529,358167.08525337564
106785.45264913858,105097.3430360746,179695.09240447727,112129.10257300708,0.0,125926.7476656744,0.9841915769220483,1.0669071104247796,581167.1167709461,377780.24299702316
106785.45264913858,105097.3430360746,179695.09240447727,112129.10257300708,0.0,125926.7476656744,0.9841915769220483,1.0669071104247796,436428.8505077294,125926.7476656744
106785.45264913858,105097.3430360746,179695.09240447727,112129.10257300708,0.0,125926.7476656744,0.9841915769220483,1.0669071104247796,467638.05258217035,251853.4953313488
172473.9076282108,205450.84699662108,179695.09240447727,202466.48597043805,1.0,190021.5832499368,1.191199583871579,0.9854740874968619,801797.5346728715,380043.1664998736
172473.9076282108,183278.28487048857,167235.63325754215,177764.02121097277,1.0,175187.9617418036,1.0626435464343122,0.9699131642115578,758692.346732035,525563.8852254108
106785.45264913858,105097.3430360746,179695.09240447727,112129.10257300708,0.0,125926.7476656744,0.9841915769220483,1.0669071104247796,467638.05258217035,251853.4953313488
172473.9076282108,140227.00393184187,144198.35608171485,112129.10257300708,0.0,142257.09255369366,0.8130331472126541,0.7996256029737927,584800.963772263,284514.1851073873
172473.9076282108,181737.53796171295,179695.09240447727,169247.9522790813,1.0,175788.6225683706,1.0537103290569454,0.9312767971678249,832569.8014537224,527365.8677051119
172473.9076282108,85357.23951888466,89676.5660899668,112129.10257300708,0.0,114909.20395251733,0.49489943546932336,1.3136449023387842,429492.6404744512,229818.40790503466
172473.9076282108,168220.50045151776,144355.91905255488,147892.43411632522,1.0,158235.69031215218,0.975338836835325,0.8791582103161655,636954.3035326652,474707.07093645656
172473.9076282108,168220.50045151776,144355.91905255488,147892.43411632522,1.0,158235.69031215218,0.975338836835325,0.8791582103161655,662952.9102741332,474707.07093645656
172473.9076282108,153154.19400232917,154486.90370244562,112129.10257300708,0.0,148061.02697649816,0.887984716688766,0.7321321058342659,603724.3814798062,296122.0539529963
172473.9076282108,205450.84699662108,180916.1168086329,190247.58319475988,1.0,187272.11365705618,1.191199583871579,0.926000481258482,716997.766755416,374544.22731411236
172473.9076282108,183278.28487048857,167235.63325754215,164672.52451475157,1.0,171915.08756774827,1.0626435464343122,0.8984835526490057,692018.6884037168,515745.2627032448
172473.9076282108,181737.53796171295,139156.61811991167,169247.9522790813,1.0,165654.00399722919,1.0537103290569454,0.9312767971678249,710731.7854139452,331308.00799445837
172473.9076282108,181737.53796171295,139156.61811991167,169247.9522790813,1.0,165654.00399722919,1.0537103290569454,0.9312767971678249,680982.7155278707,331308.00799445837
172473.9076282108,181737.53796171295,139156.61811991167,169247.9522790813,1.0,165654.00399722919,1.0537103290569454,0.9312767971678249,747241.9387234815,496962.0119916876
172473.9076282108,181737.53796171295,139156.61811991167,169247.9522790813,1.0,165654.00399722919,1.0537103290569454,0.9312767971678249,721706.2613912013,496962.0119916876
106785.45264913858,105097.3430360746,179695.09240447727,112129.10257300708,0.0,125926.7476656744,0.9841915769220483,1.0669071104247796,511318.3823999302,251853.4953313488
106785.45264913858,105097.3430360746,179695.09240447727,112129.10257300708,0.0,125926.7476656744,0.9841915769220483,1.0669071104247796,428301.72444172273,251853.4953313488
172473.9076282108,181737.53796171295,139156.61811991167,169247.9522790813,1.0,165654.00399722919,1.0537103290569454,0.9312767971678249,807342.8567331061,496962.0119916876
172473.9076282108,181737.53796171295,139156.61811991167,169247.9522790813,1.0,165654.00399722919,1.0537103290569454,0.9312767971678249,807595.9568648445,496962.0119916876
172473.9076282108,181737.53796171295,139156.61811991167,169247.9522790813,1.0,165654.00399722919,1.0537103290569454,0.9312767971678249,807342.8567331061,496962.0119916876
172473.9076282108,181737.53796171295,139156.61811991167,169247.9522790813,1.0,165654.00399722919,1.0537103290569454,0.9312767971678249,807342.8567331061,496962.0119916876
172473.9076282108,181737.53796171295,139156.61811991167,169247.9522790813,1.0,165654.00399722919,1.0537103290569454,0.9312767971678249,836528.8672103466,496962.0119916876
172473.9076282108,85357.23951888466,138082.34507555672,112129.10257300708,0.0,127010.64869891483,0.49489943546932336,1.3136449023387842,480632.38020366733,254021.29739782965
172473.9076282108,85357.23951888466,138082.34507555672,112129.10257300708,0.0,127010.64869891483,0.49489943546932336,1.3136449023387842,536871.4362762381,254021.29739782965
172473.9076282108,85357.23951888466,138082.34507555672,112129.10257300708,0.0,127010.64869891483,0.49489943546932336,1.3136449023387842,520848.2565316718,254021.29739782965
172473.9076282108,85357.23951888466,138082.34507555672,112129.10257300708,0.0,127010.64869891483,0.49489943546932336,1.3136449023387842,479180.81413332646,254021.29739782965
172473.9076282108,85357.23951888466,138082.34507555672,112129.10257300708,0.0,127010.64869891483,0.49489943546932336,1.3136449023387842,554966.4061979167,381031.9460967445
172473.9076282108,181737.53796171295,139156.61811991167,169247.9522790813,1.0,165654.00399722919,1.0537103290569454,0.9312767971678249,775613.7850135871,496962.0119916876
172473.9076282108,181737.53796171295,139156.61811991167,169247.9522790813,1.0,165654.00399722919,1.0537103290569454,0.9312767971678249,807342.8567331061,496962.0119916876
172473.9076282108,181737.53796171295,139156.61811991167,169247.9522790813,1.0,165654.00399722919,1.0537103290569454,0.9312767971678249,746329.2421777479,331308.00799445837
172473.9076282108,183278.28487048857,167235.63325754215,164672.52451475157,1.0,171915.08756774827,1.0626435464343122,0.8984835526490057,779222.2387749734,515745.2627032448
106785.45264913858,105097.3430360746,179695.09240447727,112129.10257300708,0.0,125926.7476656744,0.9841915769220483,1.0669071104247796,432430.84018635564,125926.7476656744
172473.9076282108,181737.53796171295,185528.74704200635,169247.9522790813,1.0,177247.03622775286,1.0537103290569454,0.9312767971678249,662490.8622392435,177247.03622775286
172473.9076282108,85357.23951888466,89676.5660899668,112129.10257300708,0.0,114909.20395251733,0.49489943546932336,1.3136449023387842,508317.9057949969,344727.61185755196
172473.9076282108,85357.23951888466,89676.5660899668,112129.10257300708,0.0,114909.20395251733,0.49489943546932336,1.3136449023387842,488191.2062599493,344727.61185755196
172473.9076282108,85357.23951888466,89676.5660899668,112129.10257300708,0.0,114909.20395251733,0.49489943546932336,1.3136449023387842,437420.5564154151,229818.40790503466
172473.9076282108,168220.50045151776,179695.09240447727,182548.13456748187,1.0,175734.40876292193,0.975338836835325,1.0851717482496033,782782.08853183,527203.2262887658
172473.9076282108,85357.23951888466,89676.5660899668,112129.10257300708,0.0,114909.20395251733,0.49489943546932336,1.3136449023387842,432196.51120046334,229818.40790503466
172473.9076282108,181737.53796171295,139156.61811991167,173754.43427642793,1.0,166780.62449656584,1.0537103290569454,0.9560734464889531,785458.3880603085,667122.4979862634
172473.9076282108,168220.50045151776,179993.19672854317,112129.10257300708,0.0,158204.17684531971,0.975338836835325,0.6665602722104423,674373.7611024299,474612.5305359592
172473.9076282108,164935.5784398197,179695.09240447727,180517.74814723316,1.0,174405.58165493523,0.9562929297943593,1.0944742781012797,624985.7048329139,348811.16330987046
172473.9076282108,168220.50045151776,179695.09240447727,182548.13456748187,1.0,175734.40876292193,0.975338836835325,1.0851717482496033,811035.4753967294,702937.6350516877
106785.45264913858,105097.3430360746,179695.09240447727,112129.10257300708,0.0,125926.7476656744,0.9841915769220483,1.0669071104247796,509128.29680398636,251853.4953313488
172473.9076282108,85357.23951888466,89676.5660899668,112129.10257300708,0.0,114909.20395251733,0.49489943546932336,1.3136449023387842,497641.1206629287,344727.61185755196
172473.9076282108,85357.23951888466,89676.5660899668,112129.10257300708,0.0,114909.20395251733,0.49489943546932336,1.3136449023387842,460479.46628756897,229818.40790503466
172473.9076282108,85357.23951888466,89676.5660899668,112129.10257300708,0.0,114909.20395251733,0.49489943546932336,1.3136449023387842,466582.27403645194,229818.40790503466
172473.9076282108,85357.23951888466,89676.5660899668,112129.10257300708,0.0,114909.20395251733,0.49489943546932336,1.3136449023387842,462549.9584112958,229818.40790503466
