price,rooms,area_m2,floor,has_document,address,avtodayanacaq,balkon,duzelme,esyali,hovuz,internet,isiq,kabel_tv,kombi,kondisioner,lift,merkezi_qizdirici_sistem,metbex_mebeli,pvc_pencere,qaz,su,telefon,temirli,rooms_group,rooms_group_code
257000,3.0,85.0,2.0,Yes,"Bakı, Binəqədi, metro Azadlıq",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,3-4,2
63000,2.0,42.0,5.0,No,"Bakı, Abşeron, Masazır",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1-2,1
205000,4.0,110.0,4.0,Yes,"Bakı, Yasamal, Yeni Yasamal qəs., metro İçərişəhər",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,3-4,2
247000,3.0,70.0,9.0,Yes,"Bakı, Binəqədi, 9-cu mikrorayon",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,3-4,2
80000,2.0,35.0,7.0,Yes,"Bakı, Sabunçu, metro Koroğlu",No,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,1-2,1
225000,4.0,100.0,7.0,Yes,"Bakı, Binəqədi, metro Azadlıq",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,3-4,2
108000,2.0,56.0,2.0,Yes,Xırdalan,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,1-2,1
115000,3.0,75.0,2.0,Yes,"Bakı, Abşeron, Masazır",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,3-4,2
96500,2.0,54.0,3.0,Yes,"Bakı, Abşeron, Masazır",No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1-2,1
57000,2.0,57.0,5.0,No,"Bakı, Abşeron, Masazır",No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,1-2,1
80500,2.0,55.0,1.0,No,"Bakı, Abşeron, Masazır",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1-2,1
